,Chapter,Topic,Content
68,Chapter 11 - Work and Energy,Work,"When a force acts on an object and the object shows displacement, the force has done work on the object. Work = Force × Displacement Not much work in spite of working hard Reading, writing, drawing, thinking, analysing are all energy consuming. But in scientific manner, no work is done in this case. A man is completely exhausted in trying to push a rock or wall but work done is zero as wall is stationary. A man standing still with heavy suitcase may be tried soon but he does no work in this situation as he is stationary. Work is said to be done when:- a moving object comes to rest. an object at rest starts moving. velocity of an object changes. shape of an object changes. Scientific conception of work:- Work is done when a force is applied on a body and when that forces produces motion under its influence. Condition of work:- Force should be applied on the body Body should be displaced. Work is not done when:- If any one of the above conditions does not exist, work is not done. Work done by a fixed force:- y Work done in moving a body is equal to the product of force and displacement of body in the direction of force. Work done by a force acting on an object is equal to the magnitude of the force multiplied by the distance moved in the direction of the force. Work has only magnitude and no direction. Work = Force × Displcement W = F × S Work is a scalar quantity. SI unit of work is Newton metre or Joule. When a force of 1 Newton moves a body through a distance of 1metre in its own direction, then the work done is known as 1 Joule. 1 Joule = 1 Newton × 1 metre 1 J = 1 Nm Factors of work done:- Work done by a force can be positive, negative or zero. Positive work:-Work done is positive when a force acts in the direction of motion of the body. (θ = 0°) Negative work:-Work done is negative when a force acts opposite to the direction of the body. (θ = 180°) Zero work:-Work done is zero when a force acts at right angles to the direction of motion. (θ =90°)"
69,Chapter 11 - Work and Energy,Energy,"The capacity of doing work is known as energy. The sun is the biggest source of energy. most of the energy sources are derived from the d=sun. Some energy is received from nucleus of atoms, interior of the earth and the tides. The energy possessed by an object is thus measured in terms of its capacity of doing work. SI unit of energy is same as the work of unit that is Joule (J). Its bigger unit is kilo joule (kJ). 1 kJ = 1000 J. There are different forms of energy:-0 Kinetic energy Potential energy Heat energy Chemical energy Electrical energy Light energy Sound energy Nuclear energy Kinetic Energy Kinetic energy is the energy possessed by an object due to its motion. The kinetic energy of an object increases with its speed. Examples of Kinetic energy:- A moving cricket ball Running water A moving bullet Flowing wind A moving car A running athelete A rolling stone If an object of mass ‘m’ moving with uniform velocity ‘u’ , it is displaced through a distance ‘s’. Constant force ‘f’ acts on it in the direction of displacement. Its velocity changes from ‘u’ to ‘v’. W = F × S………………………………………….(1) F = m × a…………………………………………..(2) According to the third equation of motion v2 – u2 = 2as s = ( v2 – u2 )/2a……………………………….(3) W = m a × (v2 – u2/2a) W = 1/2 m ( v2 – u2) If the object is starting from its stationary position, that is u = 0, then W = 1/2 m ( v2 – 02) W = 1/2 mv2 Thus, the kinetic energy possessed by an object of mass, m and moving with a uniform velocity, v is Ek = 1/2m v2 Example:- An object of mass 15 kg is moving with a uniform velocity of 4 m s-1 . What is the kinetic energy possessed by the object? Solution:- Mass of the object (m) = 15 kg Velocity of the object (v) = 4 m s-1 Ek = 1/ 2 m v2 = 1/2 × 15 kg × 4 m s-1× 4 m s-1 = 120 J The kinetic energy of the object is 120 J. Potential energy The potential energy possessed by the object is the energy present in it by virtue of its position or configuration. Examples:- Water kept in dam : It can rotate turbine to generate electricity due to its position above the ground. Bent string of bow : Potential energy due to change of its shape released in the form of kinetic energy while shooting an arrow. Potential energy of an object at a height:- An object increases its energy when raised through a height. This is because work is done on it against gravity while it is being raised. The energy present in such an object is the gravitational potential energy. The gravitational potential energy of an object at a point above the ground is defined as the work done in raising it from the ground to that point against gravity. Consider an object of mass, m. Let it be raised through a height, h from the ground. A force is required to do this. The minimum force required to raise the object is equal to the weight of the object, mg. The object gains energy equal to the work done on it. Let the work done on the object against gravity be W. That is, work done , W = force × displacement = mg × h = mgh Thus, the potential energy of the object is Ep = mgh Example:- Find the energy possessed by an object of mass 10kg when it is at a height of 6 m above the ground. Given g = 9.8 m s-2. Sol:- Mass of the object (m) = 10 kg displacement (h) = 6 m acceleration due to gravity (g) = 9.8 m s-2 Potential energy = mgh = 10 kg × 9.8 m s-2 × 6 m = 588 J The potential energy is 588 J."
70,Chapter 11 - Work and Energy,Rate of Doing work,"Power is defined as the rate of doing work or the rate of transfer of energy. Power (P) = Work done / Time taken P = W/t Where, P = Power W = Work done t = Time taken SI unit of power is Watt (W) 1 Watt (W) = 1 Joule/1 second = 1J/1s Power is one Watt when one joule work is done in one second. Average power = Total work done or total energy used/ Total time taken 1 Kilowatt = 1000 watts 1 kW = 1000 W 1 kW = 1000 J s-1 The power of an agent may vary with time. This means that the agent may be doing work at different rates at different intervals of time. Therefore the concept of average power is useful. We obtain average power by dividing the total energy consumed by the total time taken. Ex:- A boy of mass 50 kg runs up a staircase of 45 steps in 9 s. If the height of each step is 15 cm. Find his power. (g=10 m s-2) Sol:-Weight of boy (mg) = 50 kg × 10 m s-2 = 500 N height of staircase (h) = 45 × 15/100 m = 6.75 m Total time taken (t) = 9 s Power (p) = Work done / time taken = mgh/t = 500 N × 6.75 m/9s = 375 W Thus, the power is 375 W."
71,Chapter 11 - Work and Energy,Commercial unit of energy,"The unit joule is too small and hence is inconvenient to express large quantities of energy. We use a bigger unit of energy called kilowatt hour (kWh). Thus, 1 kilowatt hour = 1 Kilowatt for 1 hour at the rate of 1000 J s-1 (or 1 kW). 1 kWh = 1 kW × 1 h = 1000 W × 3600 s = 3600000 J 1 kWh = 3.6 × 106 J. The energy used in households, industries and commercial establishments are usually expressed in kilowatt hour. Example :- electrical energy used during a month is expressed in terms of ‘units’. 1 unit means 1 kilowatt hour."
72,Chapter 11 - Work and Energy,Law of conservation of energy,"Whenever energy changes from one form to another form, the total amount of energy remains constant. According to this law, energy can only be converted from one form to another; it can neither be created or destroyed. The total energy before and after the transformation remains the same. The law of conservation of energy is valid in all situations and for all kinds of transformation. Conservation of energy during free fall of a body A ball of mass ‘m’ at a height ‘h’ has potential energy = mgh. As ball falls downwards, height ‘h’ decreases, so the potential energy also decreases. Kinetic energy at ‘h’ is zero but it is increasing during falling of ball. The sum of potential energy & kinetic energy of the ball remains the same at every point during its fall. Kinetic energy + potential energy = Constant 1/2mv2 + mgh = constant The sum of kinetic energy and potential energy of an object is its total mechanical energy. During free fall of the object, the decreases in potential energy, at any point in its path, appears as an equal amount of increase in kinetic energy. There is thus a continual transformation of gravitational potential energy into kinetic energy."
73,Chapter 12 - Sound,Introduction of Sound,"Everyday we hear sounds from various sources like humans, birds, bells, machines, vehicles, televisions, radios etc. Sound is a form of energy which produces a sensation of hearing in our ears. There are also other forms of energy like mechanical energy, heat energy, light energy etc. We will learn how sound is produced and how it is transmitted through a medium and received by our ear."
74,Chapter 12 - Sound,Production of Sound,"We can produce sound by striking the tuning fork. We can also produce sound by plucking, scratching, rubbing, blowing or shaking different objects. We set the objects vibrating and produce sound. Vibration means a kind of rapid to and fro motion of an object. The sound of human voice cords. A stretched rubber band when plucked vibrates and produces sound."
75,Chapter 12 - Sound,Propagation of Sound,"Sound is produced by vibrating objects. The matter or substance through which sound is transmitted is called a medium. It can be solid, liquid or gas. Sound moves through a medium from the point of generation to the listener. When an object vibrates, it sets the particles of the medium around it vibrating. The particles do not travel all the way from the vibrating object to the ear. A particle of the medium in contact with the vibrating object is first displaced from its equilibrium position. It then exerts a force on the adjacent particle. As a result of which the adjacent particle gets displaced from its position of rest. After displacing the adjacent particle the first particle comes back to its original position. This process continues in the medium till the sound reaches your ear. The disturbance created by a source of sound in the medium travels through the medium and not the particles of the medium."
76,Chapter 12 - Sound,Sound Needs A Medium To Travel,"Sound is a mechanical wave and needs a material medium like air, water, steel etc. For its propagation. It cannot travel through vacuum. An electric bell is suspended in airtight glass bell jar . The electric bell is suspended inside the airtight bell jar. The bell jar is connected to a vacuum pump. When bell jar is full of air, we hear the sound but when air is pumped out from the bell jar by vacuum pump and we ring the bell, no sound is heard. So, medium is necessary for propagation of sound."
77,Chapter 12 - Sound,Sound Waves Are Longitudinal Waves,"The regions where the coils become closer are called compressions (C) and the regions where the coils are further apart are called rarefactions (R). Sound propagates in the medium as a series of compressions and rarefactions. Now, we can compare the propagation of disturbance in a slinky with the sound propagation in the medium. These waves are called longitudinal waves. In these waves the individual particles of the medium move in a direction parallel to the direction of propagation of the disturbance. The particles do not move from one place to another but they simply oscillate back and forth about their position of rest. Hence sound waves are longitudinal waves. There is also another type of wave called transverse wave. In a transverse wave particles do not oscillate along the line of wave propagation but oscillate up and down about their mean position as the wave travels. Thus a transverse wave is the one in which the individual particles of the medium move about their mean positions in a direction perpendicular to the direction of wave propagation."
78,Chapter 12 - Sound,Characteristics Of Sound Wave,"We can describe a sound wave by its frequency amplitude and speed A sound wave in graphic form which represents how density and pressure change when the sound wave moves in the medium. The density as well as the pressure of the medium at a given time varies with distance, above and below the average value of density and pressure. Image (a) Shows the density and image (b) shows the pressure variations as a sound wave propagates in the medium. Compressions are the regions where particles are crowded together and represented by the upper portion of the curve in image (c). The peak represents the region of maximum compression. Thus, compressions are regions where density as well as pressure is high. rarefactions are the regions of low pressure where particles are spread apart and are represented by the valley, that is, the lower portion of the curve in image (c). A peak is called the crest and a valley is called the trough of a wave. The distance between two consecutive compressions (C) or two consecutive rarefactions (R) is called the wavelength. The wavelength is usually represented by λ. Its SI unit is metre (m). We know that when sound propagated through a medium, the density of the medium oscillates between a maximum value and a minimum value. The change in density from the maximum value to the minimum value, makes one complete oscillations per unit time is the frequency of the sound wave. If we count the number of compressions or rarefactions that cross us per unit time, we will get the frequency of the sound wave. It is usually represented by v (Greek letter, nu ). Its SI unit is hertz (symbol, Hz). The time taken by two consecutive compressions or rarefactions to cross a fixed point is called the time period of the wave. It is represented by the symbol T. Its SI unit is second (s). Frequency and time period are related as follows : v = 1/T Objects of different sizes and conditions vibrate at different frequencies to produce sounds of different pitch. Fig:- Low pitch sound has low frequency and high pitch of sound has high frequency. The magnitude of the maximum disturbance in the medium on either side of the mean value is called the amplitude of the wave. It is usually represented by the letter A. For sound its unit will be that of density or pressure. The loudness or softness of a sound is determined basically by its amplitude. The amplitude of the sound wave depends upon the force with which an object is made to vibrate. A sound wave spreads out from out from its source. As it moves away from the source its amplitude as well as its loudness decreases . The wave shapes of a loud and a soft sound of the same frequency. The quality or timber of sound is that characteristic which enables us to distinguish one sound from another having the same pitch and loudness. The sound which is more pleasant is said to be of a rich quality. A sound of single frequency is called a tone. The sound which is produced due to a mixture of several frequencies is called a note and is pleasant to listen to. Noise is unpleasant to the ear! Music is pleasant to hear and is of rich quality."
79,Chapter 13 - Why Do We Fall ill,Disease and Its Causes,"What does disease look like? :- There are many tissues in the body. These tissues make up physiological systems or organ systems that carry out body functions. Each of the organ systems has specific organs as its parts, and it has particular functions. So, the digestive system has the stomach and intestines, and it helps to digest food taken in from outside the body. The musculoskeletal system, which is made up of bones and muscles, holds the body parts together and helps the body move. When there is a disease, either the functioning or the appearance of one or more systems of the body will change for the worse. These changes give rise to symptoms of disease are the things we feel as being ‘wrong’. So we have a headache, we have cough, we have loose motions, we have a wound with pus; these are all symptoms. These indicate that there may be a disease, but they don’t indicate what the disease is. Ex- a headache may mean just examination stress or, very rarely, it may mean meningitis, or any one of a dozen different diseases."
80,Chapter 13 - Why Do We Fall ill,Differences between Being Healthy and Disease-free,"Being Healthy Being Disease-free It is a state of being well enough to function well physically, mentally and socially. It is a state of absence from disease. It refers to the individual, physical and social environment. It refers only to the individual. The individual has good health. The individual may have good health or poor health."
81,Chapter 13 - Why Do We Fall ill,Health and its Failure,"The significance of Health:- Health is a state of physical, mental and social well-being. The conditions necessary for good health are:- Good physical and social environment:- It includes clean surroundings, good sanitation, proper garbage disposal and clean drinking water. Good economic conditions:- It includes job opportunities for earning to have nutritious food and to lead a healthy life. Community Health:- All those activities which people do both individually and in groups for the development of their society, constitute the community health. Personal and community health are supplementary to each other. We protect ourselves by keeping our body clean and for this we also require a good and healthy environment in our surroundings. So, both personal and community health are inter-related."
82,Chapter 13 - Why Do We Fall ill,Introduction,"Health is a state of complete physical, mental and social well-being. Basic conditions for good health: Proper balanced and nutritious diet. Personal hygiene. Clean environment and surroundings. Healthy air, no pollution in the surrounding. Regular exercise. Proper rest. Good standard of living and economy status. We know that cells are the basic units of living beings. Cells are made of a variety of chemical substances- proteins , carbohydrates , fats or lipids and so on. Cells move from place to place. Even in cells that do not move, there is repair going on. New cells are being made. In our organs or tissues, there are various specialised activities going on- the heart is beating, the lungs are breathing, the kidney is filtering urine, the brain is thinking. All these activities are interconnected. For all these interconnected activities, energy and raw material are needed from outside the body."
